idx,accuracy,speed,rank,crowding_distance,architecture
46,0.902,3.269478959779828,1,0.5060099347061708,"{""normal_cell"": {""blocks"": [[1, 1, 0, 0], [2, 3, 0, 3], [3, 3, 0, 5], [0, 0, 3, 5], [2, 4, 1, 1]], ""extra_connections"": [1, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 0, 1, 4], [0, 0, 2, 4], [0, 0, 1, 1], [3, 3, 2, 2], [3, 0, 2, 5]], ""extra_connections"": [1, 2, 4, 5, 6]}}"
47,0.884,3.725435826629691,1,0.3506031901521586,"{""normal_cell"": {""blocks"": [[0, 2, 0, 0], [0, 2, 2, 1], [0, 1, 2, 4], [4, 4, 2, 3], [4, 4, 2, 3]], ""extra_connections"": [0, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 2, 1, 3], [1, 5, 0, 3], [3, 2, 2, 2], [1, 5, 3, 0], [0, 0, 0, 3]], ""extra_connections"": [1, 2, 3, 4, 6]}}"
48,0.858,4.831176890826736,1,0.34959127232603293,"{""normal_cell"": {""blocks"": [[0, 3, 1, 4], [1, 0, 2, 3], [1, 0, 3, 0], [2, 1, 4, 3], [5, 0, 0, 3]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 1, 1, 1], [0, 4, 2, 0], [1, 2, 2, 5], [3, 1, 0, 1], [2, 1, 1, 4]], ""extra_connections"": [3, 4, 5, 6]}}"
49,0.885,3.6623437703660646,1,0.32288625890333394,"{""normal_cell"": {""blocks"": [[1, 1, 1, 0], [1, 3, 2, 2], [2, 4, 0, 2], [4, 0, 2, 3], [3, 0, 0, 2]], ""extra_connections"": [0, 3, 4, 6]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 4], [0, 0, 1, 0], [2, 5, 0, 4], [1, 0, 1, 5], [3, 3, 4, 4]], ""extra_connections"": [1, 2, 3, 4, 5, 6]}}"
50,0.927,2.489751243998607,1,0.3067880967087976,"{""normal_cell"": {""blocks"": [[0, 2, 1, 1], [1, 4, 2, 5], [2, 3, 3, 3], [1, 4, 3, 5], [1, 5, 0, 2]], ""extra_connections"": [0, 3]}, ""reduction_cell"": {""blocks"": [[0, 0, 0, 3], [2, 0, 1, 3], [1, 5, 3, 3], [3, 1, 1, 5], [5, 0, 0, 3]], ""extra_connections"": [2, 6]}}"
51,0.9119999999999999,2.757320139710875,1,0.2876879217249933,"{""normal_cell"": {""blocks"": [[0, 0, 0, 1], [2, 3, 2, 3], [0, 3, 3, 4], [3, 4, 2, 4], [0, 5, 4, 0]], ""extra_connections"": [0, 1, 3, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 1], [0, 2, 1, 5], [0, 5, 1, 1], [2, 1, 4, 4], [0, 4, 2, 3]], ""extra_connections"": [3]}}"
52,0.9079999999999999,2.8277124980946344,1,0.275346337029916,"{""normal_cell"": {""blocks"": [[1, 4, 0, 3], [0, 5, 1, 3], [2, 3, 2, 5], [3, 5, 1, 3], [1, 4, 4, 0]], ""extra_connections"": [0, 1, 3, 4, 5]}, ""reduction_cell"": {""blocks"": [[0, 2, 1, 2], [0, 3, 1, 2], [2, 2, 3, 2], [0, 3, 0, 5], [4, 0, 5, 1]], ""extra_connections"": [1]}}"
53,0.937,2.3193596887115,1,0.22778986928381928,"{""normal_cell"": {""blocks"": [[0, 0, 0, 1], [1, 4, 2, 4], [2, 3, 0, 3], [2, 5, 3, 2], [4, 4, 3, 3]], ""extra_connections"": [2, 3, 4]}, ""reduction_cell"": {""blocks"": [[0, 5, 0, 5], [1, 4, 0, 1], [3, 4, 3, 2], [1, 4, 3, 5], [3, 0, 3, 2]], ""extra_connections"": [0, 1, 2, 5, 6]}}"
54,0.854,4.836321915085204,1,0.20040016590310572,"{""normal_cell"": {""blocks"": [[1, 2, 1, 4], [0, 3, 0, 2], [1, 2, 0, 0], [4, 0, 4, 3], [3, 0, 1, 4]], ""extra_connections"": [0, 2, 5]}, ""reduction_cell"": {""blocks"": [[1, 3, 1, 0], [0, 3, 2, 1], [1, 2, 0, 4], [3, 5, 1, 0], [3, 2, 2, 1]], ""extra_connections"": [0, 1, 2, 3, 4, 5]}}"
55,0.929,2.321731222567766,1,0.11401313122234388,"{""normal_cell"": {""blocks"": [[0, 0, 0, 1], [2, 4, 2, 4], [2, 3, 0, 3], [2, 5, 3, 2], [1, 4, 3, 3]], ""extra_connections"": [2, 3, 4]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 5], [1, 4, 0, 1], [2, 4, 3, 2], [1, 4, 3, 5], [3, 0, 3, 2]], ""extra_connections"": [1, 2, 5]}}"
56,0.933,2.320544849728982,1,0.06925528384875028,"{""normal_cell"": {""blocks"": [[1, 0, 1, 1], [0, 1, 2, 3], [3, 3, 0, 4], [3, 5, 2, 4], [0, 5, 5, 0]], ""extra_connections"": [0, 1, 3, 4, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 4], [0, 4, 0, 2], [2, 5, 1, 1], [2, 1, 4, 4], [0, 4, 2, 3]], ""extra_connections"": [0, 1]}}"
57,0.95,2.1161725396732622,2,inf,"{""normal_cell"": {""blocks"": [[0, 0, 1, 1], [2, 1, 2, 5], [0, 3, 3, 4], [3, 4, 2, 4], [0, 4, 5, 0]], ""extra_connections"": [0, 1, 3, 4, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 4], [0, 4, 0, 5], [2, 5, 1, 2], [2, 1, 4, 4], [0, 4, 2, 3]], ""extra_connections"": [3]}}"
58,0.8019999999999999,4.805615103667666,2,inf,"{""normal_cell"": {""blocks"": [[0, 0, 1, 1], [0, 1, 2, 0], [0, 4, 3, 0], [0, 0, 1, 1], [4, 4, 0, 4]], ""extra_connections"": [1, 3, 4]}, ""reduction_cell"": {""blocks"": [[1, 2, 1, 1], [0, 2, 0, 0], [3, 0, 2, 2], [4, 2, 0, 5], [3, 4, 0, 3]], ""extra_connections"": [1, 2]}}"
59,0.821,4.170161870462721,2,0.5719114948683826,"{""normal_cell"": {""blocks"": [[0, 1, 0, 5], [1, 0, 1, 2], [1, 3, 2, 5], [3, 1, 4, 1], [2, 3, 1, 2]], ""extra_connections"": [0, 1, 2, 3, 4]}, ""reduction_cell"": {""blocks"": [[0, 2, 0, 5], [1, 2, 2, 0], [0, 2, 0, 1], [2, 3, 4, 1], [3, 0, 1, 3]], ""extra_connections"": [0, 2, 4, 5]}}"
