idx,accuracy,speed,rank,crowding_distance,architecture
33,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
34,61.92,100.20891052621954,0,inf,"{""benchmark_genotype"": [0, 4, 3, 2, 0, 0], ""arch_id"": 9067, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
35,69.36,58.83645612727267,0,0.8853291760607884,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
36,67.21333,59.65274822895464,0,0.5147461684485833,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
37,67.21333,59.65274822895464,0,0.5999246554906282,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
38,67.246666,58.93102827366356,0,0.21645581323405516,"{""benchmark_genotype"": [1, 3, 2, 3, 3, 0], ""arch_id"": 13599, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
39,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
40,58.106667,77.91614819963053,1,inf,"{""benchmark_genotype"": [1, 4, 1, 0, 1, 0], ""arch_id"": 2286, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|""}"
41,62.133335,49.16774979122143,1,1.322379572224425,"{""benchmark_genotype"": [3, 3, 4, 4, 4, 0], ""arch_id"": 1535, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|""}"
42,67.04,44.08388722900808,1,0.5469081172070687,"{""benchmark_genotype"": [3, 1, 1, 1, 1, 3], ""arch_id"": 14374, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_3x3~2|""}"
